Feature,Bin_0,Bin_1
island,3.98e-42,-4.334e-42
scree,6.57e-43,-8.5e-43
toilets,0.034140058,-0.038243666
isolated_dwelling,-1.09e-42,-2.34e-43
razed,-4.71e-43,-2.556e-42
prison,-8.37e-43,4.46e-43
department_store,-0.0019084987,0.0016791482
cattle_grid,0.0005511369,-0.00065961713
gallery,-0.078774735,0.07571625
art,0.025758091,-0.038041733
no,-0.16752625,0.20099463
cliff,3.142e-42,-4.529e-42
sliding_gate,-0.014117973,0.015175812
therapist,0.0,1.868e-42
travel_agent,0.037117418,-0.042123996
ngo,0.031554956,-0.03057761
cable,-0.053364594,0.052554466
deli,4.8160287e-05,0.0059626047
mall,0.0017104388,-0.0023196638
theatre,8.3e-43,-4.41e-43
wine,0.077752,-0.08282377
jeweller,-0.0614802,0.066687986
photo,0.01076066,-0.012107629
funeral_directors,-0.061662447,0.06741691
estate_agent,-0.03740266,0.04479204
logistics,-0.03963386,0.036144413
pastry,-7.41e-43,2.45e-42
vacant,-0.068490736,0.06354009
shoes,0.048210148,-0.04680152
baby_goods,-0.008091031,0.008082018
it,0.0010604367,-0.0013560647
carpenter,0.0012222556,-0.0013032531
antiques,-0.06598373,0.06263143
pet,0.016939526,-0.016515011
shrubbery,-0.013461513,0.011830843
optometrist,-2.636e-42,3.322e-42
books,0.18138602,-0.1797146
boutique,2.211e-42,-4.16e-43
cosmetics,-0.023528714,0.029240066
hardware,-0.041721143,0.04528114
hunting,-6.95e-43,6.99e-43
scuba_diving,3.24e-43,-1.57e-42
clinic,-0.0017341104,0.0013851858
association,0.008909078,-0.017346742
amusement_arcade,2.86e-42,-3.28e-43
hackerspace,-0.025868898,0.023439553
musical_instrument,-0.02627201,0.028531773
toys,0.034278464,-0.036782466
dry_cleaning,0.027734388,-0.034461956
music,0.02464288,-0.025948916
health_food,-0.05527517,0.056418
seafood,-0.11375901,0.13142397
frame,0.015096555,-0.015530536
brewery,2.169e-42,-4.041e-42
caterer,1.697e-42,-2.96e-42
alternative,-3.83e-43,3.6e-44
massage,0.055600118,-0.05373765
lawyer,-0.009376559,0.011672037
wicket_gate,0.0181255,-0.021303227
stairway,1.918e-42,-1.872e-42
chapel,1.188e-42,-1.211e-42
bridge,0.04690303,-0.049186494
cable_barrier,2.988e-42,-4.095e-42
bleachers,-0.016787801,0.012669819
storage_tank,-2.335e-42,2.061e-42
religious,5.6e-44,-1.309e-42
physiotherapist,-5.9017726e-05,6.399062e-05
guardhouse,-1.5239906e-05,1.5629865e-05
car_repair,-0.015058897,0.008504895
model,4.343e-42,-4.973e-42
carpet,-0.030711325,0.025927573
strait,0.0015275799,-0.0016317079
container,-5.394e-42,4.575e-42
site,0.036353376,-0.0393479
dog_park,1.88e-42,-1.376e-42
international_organization,2.992e-42,-1.358e-42
sty,2.74e-42,-4.599e-42
warehouse,0.0023664671,-0.0029528684
car,-2.884e-42,4.044e-42
silo,-1.21e-42,-1.28e-42
farm_auxiliary,6.46e-43,1.319e-42
log,-1.436e-42,1.925e-42
cabin,-0.02581094,0.026810344
interior_decoration,0.014443655,-0.022273418
hifi,-0.0025914905,0.002718465
fashion_accessories,-2.028e-42,1.293e-42
dentist,-0.041279323,0.040619407
greenery,-0.0002555037,0.00027418186
grocery,3.953e-42,-3.34e-42
synagogue,7.37e-43,3.46e-43
line,-1.3e-44,-4.36e-43
outpost,2.557e-42,-3.372e-42
dam,3.252e-42,-2.336e-42
flowline,5.87e-43,-1.03e-42
stile,2.972e-42,-5.19e-42
educational_institution,-5.311e-42,4.652e-42
window_construction,0.012984911,-0.013716424
glaziery,-0.085162014,0.086689636
shoemaker,0.07017896,-0.068636596
electrical,3.343e-42,-4.425e-42
charity,-0.09240111,0.10217417
hostel,-0.008907532,0.00055916776
pavilion,-0.00011663206,0.00011640189
fire_station,-0.017991401,0.015989678
multi,2.615e-42,-4.516e-42
industrial_machines,-2.5e-44,-5.07e-43
shunt_reactor,1.938e-42,-2.277e-42
tea,0.020503968,-0.026551522
corridor,-0.013871932,0.012825342
hobby,1.61e-42,-9.65e-43
cinema,-3.081e-42,2.385e-42
bay,1.023e-42,3.4e-43
greenhouse_horticulture,-4.34e-43,-2.27e-43
scooter,8.03e-43,6.4e-44
hairdresser;wine,-3.59e-43,1.739e-42
stadium,-3.301e-42,1.977e-42
counselling,-6.43e-43,-3.77e-43
podiatrist,0.054325424,-0.062705584
tailor,6.4339685e-05,-0.00055142253
boat,-0.09391012,0.09553186
financial,0.18883787,-0.21139592
trampoline_park,-3.57e-43,-3.98e-43
town,1.911e-42,-2.33e-42
kitchen,-0.009864428,0.011140607
quarry,2.413e-42,-1.305e-42
barn,-2.5e-42,3.443e-42
manufacture,9.94e-43,-1.13e-42
riding_hall,3.973e-42,-3.739e-42
plant,-1.953e-42,1.8e-42
aerodrome,-4.85e-43,6.9e-44
second_hand,-0.05390481,0.0497112
tattoo,0.03765968,-0.04458527
dance,9.61e-43,9.74e-43
coworking,-3.454e-42,2.225e-42
high_voltage_monitoring,1.383e-42,-7.45e-43
trade,-1.669e-42,1.022e-42
driveway,1.145e-42,-2.647e-42
piste,1.888e-42,-2.281e-42
magic_carpet,-1.83e-42,3.432e-42
platter,-1.548e-42,-3.39e-43
swimming,-2.69e-43,-9.67e-43
doctor,0.004500684,-0.0057818145
garden_centre,-0.004353188,0.004714356
publisher,-0.0048190216,0.004685892
nature_reserve,-3.32e-42,4.486e-42
tiles,-9.11e-43,-5.02e-43
consulting,-0.005904994,0.005442715
blacksmith,-9.73e-43,8.87e-43
peak,-3.68e-42,3.252e-42
river,0.0823146,-0.08778581
electrician,0.00465464,-0.004871247
telecommunication,-0.046225633,0.047570415
e-cigarette,-0.0016813448,0.0014384654
shoe_repair,-0.088381775,0.09312367
hallway,3.245e-42,-3.343e-42
turning_loop,3.36e-43,-1.82e-43
watches,1.53e-42,4.72e-43
hamlet,5.79e-43,8e-45
golf_course,-1.921e-42,2.667e-42
plant_nursery,1.931e-42,-3.747e-42
tobacco,-0.005956781,0.0051863263
staircase,3.338461e-05,-4.129844e-05
locksmith,-0.0049109515,0.0067291604
handrail,-0.0028380202,0.0031414935
robot,-4.47e-43,5.91e-43
stable,-1.167e-42,2.556e-42
motorcycle_repair,9.95e-43,-1.223e-42
promotional_products,1.71e-43,2.06e-43
ladder,4.47e-43,-1.01e-42
bowling_alley,0.004815235,-0.006129615
simulates_golf,-6.87e-43,-8.59e-43
sanitary_dump_station,4.82e-43,-1.679e-42
vineyard,9.7e-44,-1.837e-42
storage_rental,-0.005213111,0.0056065116
subway_entrance,-0.061836246,0.062020306
common,-7.47e-43,-1.002e-42
plumber,-0.009622542,0.0129152
camp_site,2.116e-42,-5.56e-43
coffee,-0.029432764,0.024854405
key_cutter,-0.018005,0.021001223
depot,-1.398e-42,2.15e-42
architect,0.008488244,-0.010545622
planter,-1.143e-42,-1.64e-43
sauna,-0.06503716,0.060740124
harbour_master,2.35e-43,2.16e-43
shop,-6.98e-43,1.173e-42
sphere,2.469e-42,-4.319e-42
accountant,-0.01551873,0.017316423
insurance,-0.08267702,0.08637886
building,-0.0036649154,0.0029666703
busway,-0.048465494,0.045301624
bathroom_furnishing,-3.2e-44,3.34e-43
ticket,-0.00571759,0.0051596267
boathouse,0.00095626013,-0.0012187641
dock,3.222e-42,-3.325e-42
water_park,2.091e-42,-2.937e-42
wreck,1.745e-42,-2.152e-42
theater,-7.97e-43,2.494e-42
tree_stump,-0.033854876,0.031089684
wholesale,-1.504e-42,1.38e-42
adminstration,2.975e-42,-1.708e-42
